group,sector,year,quarter,total
Services,"Transport, Storage and Communications",2004,4,2446
Services,"Transport, Storage and Communications",2005,1,2526
Services,"Transport, Storage and Communications",2005,2,2389
Services,"Transport, Storage and Communications",2005,3,2419
Services,"Transport, Storage and Communications",2005,4,2471
Services,"Transport, Storage and Communications",2006,1,2547
Services,"Transport, Storage and Communications",2006,2,2479
Services,"Transport, Storage and Communications",2006,3,2472
Services,"Transport, Storage and Communications",2006,4,2469
Services,"Transport, Storage and Communications",2007,1,2604
Services,"Transport, Storage and Communications",2007,2,2553
Services,"Transport, Storage and Communications",2007,3,2637
Services,"Transport, Storage and Communications",2007,4,2600
Services,"Transport, Storage and Communications",2008,1,2674
Services,"Transport, Storage and Communications",2008,2,2575
Services,"Transport, Storage and Communications",2008,3,2525
Services,"Transport, Storage and Communications",2008,4,2587
Services,"Transport, Storage and Communications",2009,1,2660
Services,"Transport, Storage and Communications",2009,2,2628
Services,"Transport, Storage and Communications",2009,3,2694
Services,"Transport, Storage and Communications",2009,4,2735
Services,"Transport, Storage and Communications",2010,1,2735
Services,"Transport, Storage and Communications",2010,2,2741
Services,"Transport, Storage and Communications",2010,3,2704
Services,"Transport, Storage and Communications",2010,4,2711
Services,"Transport, Storage and Communications",2011,1,2802
Services,"Transport, Storage and Communications",2011,2,2697
Services,"Transport, Storage and Communications",2011,3,2801
Services,"Transport, Storage and Communications",2011,4,2799
Services,Financial Intermediation,2001,1,285
Services,Financial Intermediation,2001,2,277
Services,Financial Intermediation,2001,3,292
Services,Financial Intermediation,2001,4,314
Services,Financial Intermediation,2002,1,299
Services,Financial Intermediation,2002,2,301
Services,Financial Intermediation,2002,3,329
Services,Financial Intermediation,2002,4,318
Services,Financial Intermediation,2003,1,285
Services,Financial Intermediation,2003,2,286
Services,Financial Intermediation,2003,3,311
Services,Financial Intermediation,2003,4,329
Services,Financial Intermediation,2004,1,327
Services,Financial Intermediation,2004,2,339
Services,Financial Intermediation,2004,3,348
Services,Financial Intermediation,2004,4,298
Services,Financial Intermediation,2005,1,304
Services,Financial Intermediation,2005,2,364
Services,Financial Intermediation,2005,3,358
Services,Financial Intermediation,2005,4,337
Services,Financial Intermediation,2006,1,343
Services,Financial Intermediation,2006,2,337
Services,Financial Intermediation,2006,3,346
Services,Financial Intermediation,2006,4,372
Services,Financial Intermediation,2007,1,344
Services,Financial Intermediation,2007,2,343
Services,Financial Intermediation,2007,3,365
Services,Financial Intermediation,2007,4,384
Services,Financial Intermediation,2008,1,364
Services,Financial Intermediation,2008,2,366
Services,Financial Intermediation,2008,3,369
Services,Financial Intermediation,2008,4,373
Services,Financial Intermediation,2009,1,337
Services,Financial Intermediation,2009,2,389
Services,Financial Intermediation,2009,3,376
Services,Financial Intermediation,2009,4,375
Services,Financial Intermediation,2010,1,384
Services,Financial Intermediation,2010,2,383
Services,Financial Intermediation,2010,3,420
Services,Financial Intermediation,2010,4,412
Services,Financial Intermediation,2011,1,447
Services,Financial Intermediation,2011,2,406
Services,Financial Intermediation,2011,3,418
Services,Financial Intermediation,2011,4,466
Services,"Real Estate, Renting and Business",2001,1,490
Services,"Real Estate, Renting and Business",2001,2,506
Services,"Real Estate, Renting and Business",2001,3,533
Services,"Real Estate, Renting and Business",2001,4,534
Services,"Real Estate, Renting and Business",2002,1,537
Services,"Real Estate, Renting and Business",2002,2,552
Services,"Real Estate, Renting and Business",2002,3,525
Services,"Real Estate, Renting and Business",2002,4,560
Services,"Real Estate, Renting and Business",2003,1,562
Services,"Real Estate, Renting and Business",2003,2,563
Services,"Real Estate, Renting and Business",2003,3,715
Services,"Real Estate, Renting and Business",2003,4,716
Services,"Real Estate, Renting and Business",2004,1,697
Services,"Real Estate, Renting and Business",2004,2,669
Services,"Real Estate, Renting and Business",2004,3,691
Services,"Real Estate, Renting and Business",2004,4,702
Services,"Real Estate, Renting and Business",2005,1,711
Services,"Real Estate, Renting and Business",2005,2,775
Services,"Real Estate, Renting and Business",2005,3,715
Services,"Real Estate, Renting and Business",2005,4,736
Services,"Real Estate, Renting and Business",2006,1,755
Services,"Real Estate, Renting and Business",2006,2,814
Services,"Real Estate, Renting and Business",2006,3,808
Services,"Real Estate, Renting and Business",2006,4,813
Services,"Real Estate, Renting and Business",2007,1,910
Services,"Real Estate, Renting and Business",2007,2,907
Services,"Real Estate, Renting and Business",2007,3,842
Services,"Real Estate, Renting and Business",2007,4,881
Services,"Real Estate, Renting and Business",2008,1,904
Services,"Real Estate, Renting and Business",2008,2,953
Services,"Real Estate, Renting and Business",2008,3,969
Services,"Real Estate, Renting and Business",2008,4,985
Services,"Real Estate, Renting and Business",2009,1,1044
Services,"Real Estate, Renting and Business",2009,2,1023
Services,"Real Estate, Renting and Business",2009,3,1090
Services,"Real Estate, Renting and Business",2009,4,1100
Services,"Real Estate, Renting and Business",2010,1,1119
Services,"Real Estate, Renting and Business",2010,2,1061
Services,"Real Estate, Renting and Business",2010,3,1166
Services,"Real Estate, Renting and Business",2010,4,1239
Services,"Real Estate, Renting and Business",2011,1,1195
Services,"Real Estate, Renting and Business",2011,2,1277
Services,"Real Estate, Renting and Business",2011,3,1214
Services,"Real Estate, Renting and Business",2011,4,1340
Services,"Public Administration and Defense, Compulsory Social Security",2001,1,1380
Services,"Public Administration and Defense, Compulsory Social Security",2001,2,1402
Services,"Public Administration and Defense, Compulsory Social Security",2001,3,1360
Services,"Public Administration and Defense, Compulsory Social Security",2001,4,1385
Services,"Public Administration and Defense, Compulsory Social Security",2002,1,1424
Services,"Public Administration and Defense, Compulsory Social Security",2002,2,1445
Services,"Public Administration and Defense, Compulsory Social Security",2002,3,1439
Services,"Public Administration and Defense, Compulsory Social Security",2002,4,1461
Services,"Public Administration and Defense, Compulsory Social Security",2003,1,1432
Services,"Public Administration and Defense, Compulsory Social Security",2003,2,1466
Services,"Public Administration and Defense, Compulsory Social Security",2003,3,1378
Services,"Public Administration and Defense, Compulsory Social Security",2003,4,1382
Services,"Public Administration and Defense, Compulsory Social Security",2004,1,1478
Services,"Public Administration and Defense, Compulsory Social Security",2004,2,1623
Services,"Public Administration and Defense, Compulsory Social Security",2004,3,1414
Services,"Public Administration and Defense, Compulsory Social Security",2004,4,1450
Services,"Public Administration and Defense, Compulsory Social Security",2005,1,1436
Services,"Public Administration and Defense, Compulsory Social Security",2005,2,1497
Services,"Public Administration and Defense, Compulsory Social Security",2005,3,1497
Services,"Public Administration and Defense, Compulsory Social Security",2005,4,1494
Services,"Public Administration and Defense, Compulsory Social Security",2006,1,1444
Services,"Public Administration and Defense, Compulsory Social Security",2006,2,1515
Services,"Public Administration and Defense, Compulsory Social Security",2006,3,1540
Services,"Public Administration and Defense, Compulsory Social Security",2006,4,1541
Services,"Public Administration and Defense, Compulsory Social Security",2007,1,1541
Services,"Public Administration and Defense, Compulsory Social Security",2007,2,1549
Services,"Public Administration and Defense, Compulsory Social Security",2007,3,1545
Services,"Public Administration and Defense, Compulsory Social Security",2007,4,1569
Services,"Public Administration and Defense, Compulsory Social Security",2008,1,1612
Services,"Public Administration and Defense, Compulsory Social Security",2008,2,1661
Services,"Public Administration and Defense, Compulsory Social Security",2008,3,1741
Services,"Public Administration and Defense, Compulsory Social Security",2008,4,1690
Services,"Public Administration and Defense, Compulsory Social Security",2009,1,1659
Services,"Public Administration and Defense, Compulsory Social Security",2009,2,1794
Services,"Public Administration and Defense, Compulsory Social Security",2009,3,1772
Services,"Public Administration and Defense, Compulsory Social Security",2009,4,1771
Services,"Public Administration and Defense, Compulsory Social Security",2010,1,1823
Services,"Public Administration and Defense, Compulsory Social Security",2010,2,1959
Services,"Public Administration and Defense, Compulsory Social Security",2010,3,1835
Services,"Public Administration and Defense, Compulsory Social Security",2010,4,1771
Services,"Public Administration and Defense, Compulsory Social Security",2011,1,1806
Services,"Public Administration and Defense, Compulsory Social Security",2011,2,1939
Services,"Public Administration and Defense, Compulsory Social Security",2011,3,1908
Services,"Public Administration and Defense, Compulsory Social Security",2011,4,1842
Services,Education,2001,1,892
Services,Education,2001,2,886
Services,Education,2001,3,948
Services,Education,2001,4,955
Services,Education,2002,1,932
Services,Education,2002,2,913
Services,Education,2002,3,956
Services,Education,2002,4,939
Services,Education,2003,1,968
Services,Education,2003,2,934
Services,Education,2003,3,886
Services,Education,2003,4,915
Services,Education,2004,1,937
Services,Education,2004,2,882
Services,Education,2004,3,976
Services,Education,2004,4,958
Services,Education,2005,1,959
Services,Education,2005,2,957
Services,Education,2005,3,1005
Services,Education,2005,4,989
Services,Education,2006,1,1017
Services,Education,2006,2,1030
Services,Education,2006,3,995
Services,Education,2006,4,1009
Services,Education,2007,1,1032
Services,Education,2007,2,998
Services,Education,2007,3,1067
Services,Education,2007,4,1043
Services,Education,2008,1,1083
Services,Education,2008,2,1028
Services,Education,2008,3,1076
Services,Education,2008,4,1096
Services,Education,2009,1,1157
Services,Education,2009,2,1068
Services,Education,2009,3,1157
Services,Education,2009,4,1168
Services,Education,2010,1,1146
Services,Education,2010,2,1156
Services,Education,2010,3,1238
Services,Education,2010,4,1165
Services,Education,2011,1,1212
Services,Education,2011,2,1169
Services,Education,2011,3,1226
Services,Education,2011,4,1189
Services,Health and Social Work,2001,1,301
Services,Health and Social Work,2001,2,305
Services,Health and Social Work,2001,3,312
Services,Health and Social Work,2001,4,339
Services,Health and Social Work,2002,1,349
Services,Health and Social Work,2002,2,355
Services,Health and Social Work,2002,3,342
Services,Health and Social Work,2002,4,347
Services,Health and Social Work,2003,1,378
Services,Health and Social Work,2003,2,371
Services,Health and Social Work,2003,3,364
Services,Health and Social Work,2003,4,370
Services,Health and Social Work,2004,1,365
Services,Health and Social Work,2004,2,341
Services,Health and Social Work,2004,3,375
Services,Health and Social Work,2004,4,361
Services,Health and Social Work,2005,1,382
Services,Health and Social Work,2005,2,375
Services,Health and Social Work,2005,3,380
Services,Health and Social Work,2005,4,362
Services,Health and Social Work,2006,1,351
Services,Health and Social Work,2006,2,371
Services,Health and Social Work,2006,3,366
Services,Health and Social Work,2006,4,376
Services,Health and Social Work,2007,1,388
Services,Health and Social Work,2007,2,356
Services,Health and Social Work,2007,3,353
Services,Health and Social Work,2007,4,396
Services,Health and Social Work,2008,1,390
Services,Health and Social Work,2008,2,384
Services,Health and Social Work,2008,3,386
Services,Health and Social Work,2008,4,406
Services,Health and Social Work,2009,1,435
Services,Health and Social Work,2009,2,408
Services,Health and Social Work,2009,3,428
Services,Health and Social Work,2009,4,412
Services,Health and Social Work,2010,1,432
Services,Health and Social Work,2010,2,447
Services,Health and Social Work,2010,3,457
Services,Health and Social Work,2010,4,465
Services,Health and Social Work,2011,1,430
Services,Health and Social Work,2011,2,456
Services,Health and Social Work,2011,3,460
Services,Health and Social Work,2011,4,460
Services,"Other Community, Social and Personal Service Activities",2001,1,939
Services,"Other Community, Social and Personal Service Activities",2001,2,921
Services,"Other Community, Social and Personal Service Activities",2001,3,875
Services,"Other Community, Social and Personal Service Activities",2001,4,890
Services,"Other Community, Social and Personal Service Activities",2002,1,886
Services,"Other Community, Social and Personal Service Activities",2002,2,877
Services,"Other Community, Social and Personal Service Activities",2002,3,914
Services,"Other Community, Social and Personal Service Activities",2002,4,847
Services,"Other Community, Social and Personal Service Activities",2003,1,876
Services,"Other Community, Social and Personal Service Activities",2003,2,901
Services,"Other Community, Social and Personal Service Activities",2003,3,817
Services,"Other Community, Social and Personal Service Activities",2003,4,851
Services,"Other Community, Social and Personal Service Activities",2004,1,879
Services,"Other Community, Social and Personal Service Activities",2004,2,868
Services,"Other Community, Social and Personal Service Activities",2004,3,782
Services,"Other Community, Social and Personal Service Activities",2004,4,809
Services,"Other Community, Social and Personal Service Activities",2005,1,763
Services,"Other Community, Social and Personal Service Activities",2005,2,843
Services,"Other Community, Social and Personal Service Activities",2005,3,714
Services,"Other Community, Social and Personal Service Activities",2005,4,781
Services,"Other Community, Social and Personal Service Activities",2006,1,781
Services,"Other Community, Social and Personal Service Activities",2006,2,866
Services,"Other Community, Social and Personal Service Activities",2006,3,833
Services,"Other Community, Social and Personal Service Activities",2006,4,773
Services,"Other Community, Social and Personal Service Activities",2007,1,858
Services,"Other Community, Social and Personal Service Activities",2007,2,936
Services,"Other Community, Social and Personal Service Activities",2007,3,823
Services,"Other Community, Social and Personal Service Activities",2007,4,779
Services,"Other Community, Social and Personal Service Activities",2008,1,846
Services,"Other Community, Social and Personal Service Activities",2008,2,943
Services,"Other Community, Social and Personal Service Activities",2008,3,847
Services,"Other Community, Social and Personal Service Activities",2008,4,796
Services,"Other Community, Social and Personal Service Activities",2009,1,857
Services,"Other Community, Social and Personal Service Activities",2009,2,907
Services,"Other Community, Social and Personal Service Activities",2009,3,876
Services,"Other Community, Social and Personal Service Activities",2009,4,868
Services,"Other Community, Social and Personal Service Activities",2010,1,949
Services,"Other Community, Social and Personal Service Activities",2010,2,984
Services,"Other Community, Social and Personal Service Activities",2010,3,866
Services,"Other Community, Social and Personal Service Activities",2010,4,855
Services,"Other Community, Social and Personal Service Activities",2011,1,906
Services,"Other Community, Social and Personal Service Activities",2011,2,955
Services,"Other Community, Social and Personal Service Activities",2011,3,923
Services,"Other Community, Social and Personal Service Activities",2011,4,947
Services,Private Households with Employed Persons,2001,1,1154
Services,Private Households with Employed Persons,2001,2,1145
Services,Private Households with Employed Persons,2001,3,1237
Services,Private Households with Employed Persons,2001,4,1334
Services,Private Households with Employed Persons,2002,1,1314
Services,Private Households with Employed Persons,2002,2,1339
Services,Private Households with Employed Persons,2002,3,1311
Services,Private Households with Employed Persons,2002,4,1289
Services,Private Households with Employed Persons,2003,1,1316
Services,Private Households with Employed Persons,2003,2,1251
Services,Private Households with Employed Persons,2003,3,1533
Services,Private Households with Employed Persons,2003,4,1494
Services,Private Households with Employed Persons,2004,1,1548
Services,Private Households with Employed Persons,2004,2,1443
Services,Private Households with Employed Persons,2004,3,1491
Services,Private Households with Employed Persons,2004,4,1465
Services,Private Households with Employed Persons,2005,1,1469
Services,Private Households with Employed Persons,2005,2,1515
Services,Private Households with Employed Persons,2005,3,1521
Services,Private Households with Employed Persons,2005,4,1561
Services,Private Households with Employed Persons,2006,1,1570
Services,Private Households with Employed Persons,2006,2,1531
Services,Private Households with Employed Persons,2006,3,1771
Services,Private Households with Employed Persons,2006,4,1629
Services,Private Households with Employed Persons,2007,1,1869
Services,Private Households with Employed Persons,2007,2,1640
Services,Private Households with Employed Persons,2007,3,1752
Services,Private Households with Employed Persons,2007,4,1699
Services,Private Households with Employed Persons,2008,1,1747
Services,Private Households with Employed Persons,2008,2,1572
Services,Private Households with Employed Persons,2008,3,1863
Services,Private Households with Employed Persons,2008,4,1733
Services,Private Households with Employed Persons,2009,1,1785
Services,Private Households with Employed Persons,2009,2,1718
Services,Private Households with Employed Persons,2009,3,2110
Services,Private Households with Employed Persons,2009,4,1908
Services,Private Households with Employed Persons,2010,1,2114
Services,Private Households with Employed Persons,2010,2,1804
Services,Private Households with Employed Persons,2010,3,1831
Services,Private Households with Employed Persons,2010,4,1954
Services,Private Households with Employed Persons,2011,1,1934
Services,Private Households with Employed Persons,2011,2,1850
Services,Private Households with Employed Persons,2011,3,1960
Services,Private Households with Employed Persons,2011,4,2058
Services,Extra-Territorial Organizations and Bodies,2001,1,7
Services,Extra-Territorial Organizations and Bodies,2001,2,2
Services,Extra-Territorial Organizations and Bodies,2001,3,0
Services,Extra-Territorial Organizations and Bodies,2001,4,3
Services,Extra-Territorial Organizations and Bodies,2002,1,2
Services,Extra-Territorial Organizations and Bodies,2002,2,2
Services,Extra-Territorial Organizations and Bodies,2002,3,3
Services,Extra-Territorial Organizations and Bodies,2002,4,5
Services,Extra-Territorial Organizations and Bodies,2003,1,5
Services,Extra-Territorial Organizations and Bodies,2003,2,1
Services,Extra-Territorial Organizations and Bodies,2003,3,1
Services,Extra-Territorial Organizations and Bodies,2003,4,2
Services,Extra-Territorial Organizations and Bodies,2004,1,2
Services,Extra-Territorial Organizations and Bodies,2004,2,1
Services,Extra-Territorial Organizations and Bodies,2004,3,2
Services,Extra-Territorial Organizations and Bodies,2004,4,1
Services,Extra-Territorial Organizations and Bodies,2005,1,0
Services,Extra-Territorial Organizations and Bodies,2005,2,0
Services,Extra-Territorial Organizations and Bodies,2005,3,2
Services,Extra-Territorial Organizations and Bodies,2005,4,3
Services,Extra-Territorial Organizations and Bodies,2006,1,1
Services,Extra-Territorial Organizations and Bodies,2006,2,3
Services,Extra-Territorial Organizations and Bodies,2006,3,1
Services,Extra-Territorial Organizations and Bodies,2006,4,2
Services,Extra-Territorial Organizations and Bodies,2007,1,2
Services,Extra-Territorial Organizations and Bodies,2007,2,2
Services,Extra-Territorial Organizations and Bodies,2007,3,2
Services,Extra-Territorial Organizations and Bodies,2007,4,3
Services,Extra-Territorial Organizations and Bodies,2008,1,2
Services,Extra-Territorial Organizations and Bodies,2008,2,2
Services,Extra-Territorial Organizations and Bodies,2008,3,1
Services,Extra-Territorial Organizations and Bodies,2008,4,0
Services,Extra-Territorial Organizations and Bodies,2009,1,3
Services,Extra-Territorial Organizations and Bodies,2009,2,3
Services,Extra-Territorial Organizations and Bodies,2009,3,2
Services,Extra-Territorial Organizations and Bodies,2009,4,0
Services,Extra-Territorial Organizations and Bodies,2010,1,2
Services,Extra-Territorial Organizations and Bodies,2010,2,3
Services,Extra-Territorial Organizations and Bodies,2010,3,1
Services,Extra-Territorial Organizations and Bodies,2010,4,1
Services,Extra-Territorial Organizations and Bodies,2011,1,3
Services,Extra-Territorial Organizations and Bodies,2011,2,2
Services,Extra-Territorial Organizations and Bodies,2011,3,2
Services,Extra-Territorial Organizations and Bodies,2011,4,2
